company_name,reason,reported_date,category
Quick Money Solutions,"Fake job offers with payment required",2023-01-15,Employment Scam
Urgent Hiring Pvt Ltd,"No experience required, immediate payment",2023-02-20,Employment Scam
Easy Earn Technologies,"Work from home data entry scam",2023-03-10,Employment Scam
Global Consulting Services,"Survey filling job with registration fee",2023-04-05,Employment Scam
Instant Job Solutions,"Form filling with guaranteed income",2023-05-12,Employment Scam
Data Entry Experts,"Training fee required for job",2023-06-18,Employment Scam
Home Based Jobs,"Weekly payment promises",2023-07-22,Employment Scam
Online Work Portal,"Investment needed for a job",2023-08-30,Employment Scam
Career Solutions Pvt Ltd,"No interview required",2023-09-14,Employment Scam
Digital Marketing Agency,"Unlimited earning claims",2023-10-25,Employment Scam
Fast Cash Enterprises,"Crypto rating app investment scheme",2023-11-05,Employment Scam
Direct Hire Technologies,"Security deposit requested before offer",2023-11-20,Employment Scam
