company_name,cin,registration_date,category,state
Microsoft India Private Limited,U74140DL1995PTC067938,1995-10-27,Non-Govt,Delhi
Google India Private Limited,U72200DL2005PTC139842,2005-06-28,Non-Govt,Delhi
Amazon India Private Limited,U51909KA2004PTC034408,2004-06-15,Non-Govt,Karnataka
Tata Consultancy Services Limited,U72200MH1945PLC006822,1945-04-01,Non-Govt,Maharashtra
Infosys Limited,U74120KA1981PLC011475,1981-07-02,Non-Govt,Karnataka
Wipro Limited,U72200KA1945PLC009326,1945-12-29,Non-Govt,Karnataka
HCL Technologies Limited,U72200DL1991PLC047897,1991-11-12,Non-Govt,Delhi
Tech Mahindra Limited,U72200AP1986PLC006841,1986-09-24,Non-Govt,Andhra Pradesh
Larsen & Toubro Infotech Limited,U74120MH1996PLC101575,1996-12-27,Non-Govt,Maharashtra
Mindtree Limited,U72200KA1999PLC020475,1999-08-18,Non-Govt,Karnataka
